,Indicador 17- Total elementos servicio,Indicador 6- Funcionamiento del COMUDE,Indicador 18- Oficinas municipales con instrumentos de gestiÃ³n,Indicador 20- Ingresos per capita,Indicador 24- EjecuciÃ³n plan operativo,3) Indice de Informacion a Ciudadania,ranking,Indicador 28- Acciones de Ordenamiento Territorial,Indicador 19- Independencia financiera,Indicador 7- Existencia de reglamento interno,Indicador 10- Presentacion informacion ejecucion presupuestaria anual,7) Indice de Gestion Estrategica,indice_gestion,Indicador 27- Presupuesto destinado a DEL_ Servicios PÃºblicos y GestiÃ³n Ambiental,Indicador 29- AnÃ¡lisis de riesgo en inversiÃ³n pÃºblica,8) Indice de Municipio Saludable,Indicador 4- Asistencia del Alcalde al total de reuniones del COMUDE,5) Indice de Gestion Administrativa,Indicador 13- Monto asignado Guatecompras como porcentaje de egresos (SOLO TRANSFERENCIAS DE CAPITAL),municipio,Indicador 22- InversiÃ³n con ingreso s propios,Indicador 15- Calidad y cobertura recolecciÃ³n de basura en el municipio,2) Indice de Participacion,Indicador 12- Porcentaje de informacion publica de oficio disponible,departamento,6) Indice de Gestion Financiera,Indicador 21- InversiÃ³n con transferencias,Indicador 25- Posicionamiento estratÃ©gico del Plan de Desarrollo,Indicador 23- Deuda en el total de ingresos,Indicador 5- Representacion territorial del COMUDE,Indicador 1- Reuniones ordinarias del COMUDE,Indicador 16- GestiÃ³n de mercados y rastros,Indicador 2- Asistencia Concejales designados y concejal de salud (MSALUDABLE),Indicador 3- RepresentaciÃ³n de grupos de mujeres_ jÃ³venes e indÃ­genas,1) Indice de Gestion 2012,Indicador 14- Calidad y cobertura de agua en el municipio,Indicador 11- InformaciÃ³n disponible medios diversos,Indicador 8- Total temas tratados,Indicador 9- Numero de rendiciones de cuentas trimestrales en el aÃ±o y foco en resultados,Indicador 26- Proyectos plan de desarrollo municipal,4) Indice de Servicios
2212,3,0.2,0.825,74.8056,0.8889,0.3045,143,0,0.1222,0,0,0.5348,0.3731,0,1,0.2679,1,0.6268,0.5225,Jalpatagua,0.0258,0,0.3448,0,Jutiapa,0.3192,0.5965,1,0.7172,0.5524,2,0.125,0,0.5,0.3731,0.2,1,11,0,0.0284,0.1083
2213,3,0,0,21.9598,0.8571,0.5065,256,0,0.0254,0,0,0.5523,0.2696,0.1909,1,0.028,1,0.2143,0.7323,Conguaco,0.0698,0,0.1068,0.8,Jutiapa,0.2379,0.3499,0.8596,0.6788,0.1667,1,0,0,0,0.2696,0,1,0,0,0.0715,0
2214,1,0.0444,0.525,102.6247,0.625,0.2818,181,0,0.2615,1,0,0.4342,0.339,0.0765,1,0.2771,0.8889,0.3339,0.159,Moyuta,0.0236,0,0.695,0.25,Jutiapa,0.1864,0.4744,0.5211,0,0.6111,8,0,0.8889,0.5,0.339,0.309,1,12,0,0.1322,0.103
2215,4,0.3333,0.25,55.5996,0.2923,0.3743,146,0,0.0419,0,0,0.4945,0.3646,0.1776,1,0.2099,1,0.4107,0.1217,Pasaco,0,0,0.4788,0.75,Jutiapa,0.3176,0.6126,0.607,0.831,0.25,8,0,1,0,0.3646,0.3345,1,9,0,0.5891,0.1114
2216,0,0,0,238.8245,0,0.1023,330,0,0.1365,0,0,0.1833,0.1105,0,1,0,0,0,0.5116,San Jose Acatempa,0.6724,0,0,0,Jutiapa,0.3772,0.3316,0,0.3937,0,0,0,0,0,0.1105,0,0,0,0,0,0
2217,4,0.2333,0.125,291.1185,0.6071,0.4921,126,0,0.2266,0,1,0.4643,0.3878,0.1383,1,0.335,1,0.3482,0.7103,Quesada,0.8228,0.2084,0.3275,0.75,Jutiapa,0.4468,0.3149,0.7422,0.4383,0.25,2,0,1,0.5,0.3878,0.4239,0,5,0,0.0204,0.2481
301,2,0,0.5,1090.8974,0.0004,0.3554,225,0,0.4984,0,0,0.1874,0.3026,0.0075,1,0.1428,0,0.3929,0.2272,Antigua Guatemala,0.1285,0.125,0,0.55,Sacatepequez,0.502,0.089,0.0121,0.9968,0,0,0.5417,0,0,0.3026,0.4,1,0,0,0.0009,0.3779
302,1,0.3667,0.75,309.9466,0.6923,0.3698,98,0,0.2495,1,0,0.3692,0.4184,0.2693,1,0.3682,0.9167,0.4464,0.3992,Jocotenango,0.0043,0.25,0.565,0.45,Sacatepequez,0.3839,0.3919,0.0051,1,0,11,0.375,0,0,0.4184,0.3695,1,5,0,0,0.3763
303,4,0.1444,0.225,424.9285,0.2093,0.4686,167,0,0.2509,0,0,0.2642,0.3516,0.1643,1,0.3082,0.7,0.3982,0.7097,Pastores,0.5059,0,0.3433,0.3,Sacatepequez,0.4686,0.1592,0.0384,1,0.4837,7,0,0,0,0.3516,0.5,1,5,0.3333,0,0.1666
304,2,0,0.25,167.3804,0.3333,0.4702,173,0,0.2637,0,0,0.2617,0.3473,0.0265,1,0.1984,0.875,0.2679,0.4008,Sumpango,0.0178,0.125,0.4976,0.95,Sacatepequez,0.2724,0.0809,0.0631,0.8417,0.6168,8,0.25,0.3036,0.6667,0.3473,0.5,1,6,0,0,0.314
